Numero de documentos del corpus: 4480
Numero de palabras del corpus: 362940
Palabra: actorit Frec: 1 LogProb: -12.304890303299254
Palabra: actors Frec: 16 LogProb: -10.164824139802983
Palabra: actorsfor Frec: 1 LogProb: -12.304890303299254
Palabra: actress Frec: 4 LogProb: -11.388599571425098
Palabra: actresses Frec: 2 LogProb: -11.899425195191089
Palabra: acts Frec: 25 LogProb: -9.739940945837716
Palabra: actual Frec: 29 LogProb: -9.596840102197044
Palabra: actually Frec: 59 LogProb: -8.903692921637099
Palabra: actwhich Frec: 1 LogProb: -12.304890303299254
Palabra: acuity Frec: 1 LogProb: -12.304890303299254
Palabra: acuitywashington Frec: 2 LogProb: -11.899425195191089
Palabra: acumen Frec: 5 LogProb: -11.206278014631144
Palabra: acupressure Frec: 9 LogProb: -10.695452390865153
Palabra: acupressures Frec: 2 LogProb: -11.899425195191089
Palabra: acupuncture Frec: 34 LogProb: -9.442689422369785
Palabra: acupuncturist Frec: 2 LogProb: -11.899425195191089
Palabra: acute Frec: 17 LogProb: -10.107665725963034
Palabra: acutely Frec: 1 LogProb: -12.304890303299254
Palabra: acuteness Frec: 1 LogProb: -12.304890303299254
Palabra: acuyoga Frec: 1 LogProb: -12.304890303299254
Palabra: acylation Frec: 1 LogProb: -12.304890303299254
Palabra: ad Frec: 11 LogProb: -10.513130834071198
Palabra: ada Frec: 1 LogProb: -12.304890303299254
Palabra: adam Frec: 46 LogProb: -9.14788988214914
Palabra: adamant Frec: 1 LogProb: -12.304890303299254
Palabra: adams Frec: 9 LogProb: -10.695452390865153
Palabra: adamson Frec: 2 LogProb: -11.899425195191089
Palabra: adapt Frec: 6 LogProb: -11.052127334803886
Palabra: adaptability Frec: 5 LogProb: -11.206278014631144
Palabra: adaptation Frec: 19 LogProb: -10.002305210305208
Palabra: adaptations Frec: 4 LogProb: -11.388599571425098
Palabra: adapted Frec: 19 LogProb: -10.002305210305208
Palabra: adapter Frec: 5 LogProb: -11.206278014631144
Palabra: adaptive Frec: 2 LogProb: -11.899425195191089
Palabra: adaptor Frec: 2 LogProb: -11.899425195191089
Palabra: adaptors Frec: 1 LogProb: -12.304890303299254
Palabra: adb Frec: 3 LogProb: -11.611743122739309
Palabra: adc Frec: 2 LogProb: -11.899425195191089
Palabra: add Frec: 35 LogProb: -9.414518545403089
Palabra: added Frec: 45 LogProb: -9.169396087370105
Palabra: addgear Frec: 2 LogProb: -11.899425195191089
Palabra: addict Frec: 11 LogProb: -10.513130834071198
Palabra: addiction Frec: 23 LogProb: -9.819983653511253
Palabra: addictionrelated Frec: 1 LogProb: -12.304890303299254
Palabra: addictionthis Frec: 1 LogProb: -12.304890303299254
Palabra: addictive Frec: 9 LogProb: -10.695452390865153
Palabra: addictively Frec: 1 LogProb: -12.304890303299254
Palabra: addicts Frec: 3 LogProb: -11.611743122739309
Palabra: addictsthe Frec: 1 LogProb: -12.304890303299254
Palabra: adding Frec: 10 LogProb: -10.60014221106083
Palabra: addis Frec: 1 LogProb: -12.304890303299254
Palabra: addison Frec: 1 LogProb: -12.304890303299254
Palabra: addisonwesley Frec: 2 LogProb: -11.899425195191089
Palabra: addition Frec: 122 LogProb: -8.185853128486782
Palabra: additional Frec: 41 LogProb: -9.26036786557583
Palabra: additionally Frec: 5 LogProb: -11.206278014631144
Palabra: additions Frec: 9 LogProb: -10.695452390865153
Palabra: additives Frec: 2 LogProb: -11.899425195191089
Palabra: address Frec: 25 LogProb: -9.739940945837716
Palabra: addressed Frec: 13 LogProb: -10.358980154243941
Palabra: addressedthis Frec: 1 LogProb: -12.304890303299254
Palabra: addresses Frec: 34 LogProb: -9.442689422369785
Palabra: addressesimportant Frec: 1 LogProb: -12.304890303299254
Palabra: addressing Frec: 7 LogProb: -10.918595942179364
Palabra: addressquestions Frec: 1 LogProb: -12.304890303299254
Palabra: adds Frec: 15 LogProb: -10.225448761619418
Palabra: adeeing Frec: 1 LogProb: -12.304890303299254
Palabra: adeney Frec: 1 LogProb: -12.304890303299254
Palabra: adenomyosis Frec: 1 LogProb: -12.304890303299254
Palabra: adept Frec: 3 LogProb: -11.611743122739309
Palabra: adequate Frec: 4 LogProb: -11.388599571425098
Palabra: adequately Frec: 3 LogProb: -11.611743122739309
Palabra: aders Frec: 1 LogProb: -12.304890303299254
Palabra: adfl Frec: 1 LogProb: -12.304890303299254
Palabra: adham Frec: 1 LogProb: -12.304890303299254
Palabra: adhd Frec: 5 LogProb: -11.206278014631144
Palabra: adhere Frec: 1 LogProb: -12.304890303299254
Palabra: adherence Frec: 6 LogProb: -11.052127334803886
Palabra: adhesion Frec: 1 LogProb: -12.304890303299254
Palabra: adhesive Frec: 6 LogProb: -11.052127334803886
Palabra: adhesives Frec: 1 LogProb: -12.304890303299254
Palabra: adhikari Frec: 2 LogProb: -11.899425195191089
Palabra: adhinasth Frec: 1 LogProb: -12.304890303299254
Palabra: adhyapak Frec: 5 LogProb: -11.206278014631144
Palabra: adhyayan Frec: 2 LogProb: -11.899425195191089
Palabra: adichie Frec: 2 LogProb: -11.899425195191089
Palabra: aditya Frec: 2 LogProb: -11.899425195191089
Palabra: adjectival Frec: 1 LogProb: -12.304890303299254
Palabra: adjective Frec: 1 LogProb: -12.304890303299254
Palabra: adjectives Frec: 4 LogProb: -11.388599571425098
Palabra: adjudicated Frec: 1 LogProb: -12.304890303299254
Palabra: adjunct Frec: 17 LogProb: -10.107665725963034
Palabra: adjust Frec: 4 LogProb: -11.388599571425098
